¬í	ECG	¤ß¸õ²v
0.319	-0.56488	0
0.32	-0.569153	0
0.321	-0.573425	0
0.322	-0.577698	0
0.323	-0.582275	0
0.324	-0.586853	0
0.325	-0.592041	0
0.326	-0.597534	0
0.327	-0.603333	0
0.328	-0.609436	0
0.329	-0.61615	0
0.33	-0.623474	0
0.331	-0.631104	0
0.332	-0.639343	0
0.333	-0.647278	0
0.334	-0.655212	0
0.335	-0.662842	0
0.336	-0.669556	0
0.337	-0.675659	0
0.338	-0.680542	0
0.339	-0.684509	0
0.34	-0.687561	0
0.341	-0.689697	0
0.342	-0.691223	0
0.343	-0.691833	0
0.344	-0.691528	0
0.345	-0.690918	0
0.346	-0.689697	0
0.347	-0.688171	0
0.348	-0.686646	0
0.349	-0.68512	0
0.35	-0.682983	0
0.351	-0.680847	0
0.352	-0.678406	0
0.353	-0.67627	0
0.354	-0.674133	0
0.355	-0.672302	0
0.356	-0.670471	0
0.357	-0.668945	0
0.358	-0.667419	0
0.359	-0.665894	0
0.36	-0.663757	0
0.361	-0.661316	0
0.362	-0.658264	0
0.363	-0.655212	0
0.364	-0.652466	0
0.365	-0.650024	0
0.366	-0.647888	0
0.367	-0.646057	0
0.368	-0.644531	0
0.369	-0.643311	0
0.37	-0.6427	0
0.371	-0.6427	0
0.372	-0.643616	0
0.373	-0.645142	0
0.374	-0.647278	0
0.375	-0.649719	0
0.376	-0.652161	0
0.377	-0.654297	0
0.378	-0.656433	0
0.379	-0.658569	0
0.38	-0.661011	0
0.381	-0.663147	0
0.382	-0.664978	0
0.383	-0.666199	0
0.384	-0.666199	0
0.385	-0.664063	0
0.386	-0.660095	0
0.387	-0.653992	0
0.388	-0.645142	0
0.389	-0.634155	0
0.39	-0.619812	0
0.391	-0.602417	0
0.392	-0.58136	0
0.393	-0.556641	0
0.394	-0.527954	0
0.395	-0.495605	0
0.396	-0.458984	0
0.397	-0.418396	0
0.398	-0.37323	0
0.399	-0.324097	0
0.4	-0.270691	0
0.401	-0.214233	0
0.402	-0.15564	0
0.403	-0.0967407	0
0.404	-0.038147	0
0.405	0.0180054	0
0.406	0.0695801	0
0.407	0.115356	0
0.408	0.153809	0
0.409	0.184326	0
0.41	0.206299	0
0.411	0.219116	0
0.412	0.221863	0
0.413	0.213623	0
0.414	0.193787	0
0.415	0.162964	0
0.416	0.12146	0
0.417	0.0698853	0
0.418	0.00976563	0
0.419	-0.0570679	0
