L03 EEG I - 腦電圖
檔案名:  G3-EEG-L03
星期五, 三月 23, 2018
10:06:34 下午
秒	EEG	alpha	beta	delta	theta
1.225	-19.397	-3.34832	-5.23429	-11.9233	0.343251
1.23	-15.5273	-4.44986	-5.53061	-11.9796	0.41802
1.235	-15.2222	-5.00815	-3.22808	-12.0355	0.478041
1.24	-17.4988	-4.94716	0.850356	-12.0918	0.523844
1.245	-18.0115	-4.26863	4.78928	-12.1496	0.555927
1.25	-8.77075	-3.05167	6.51225	-12.2091	0.575445
1.255	-5.01099	-1.44146	4.93892	-12.2711	0.584307
1.26	-6.67725	0.367162	0.695014	-12.3362	0.583653
1.265	-13.6719	2.15363	-4.09139	-12.4054	0.575852
1.27	-18.7805	3.6998	-6.8775	-12.4787	0.563538
1.275	-14.7705	4.81838	-6.10862	-12.5564	0.549588
1.28	-7.51953	5.37459	-2.12204	-12.6389	0.535712
1.285	-2.63672	5.30346	3.00046	-12.7264	0.522216
1.29	-1.08643	4.61681	6.57622	-12.8195	0.508711
1.295	-0.964355	3.40096	6.8058	-12.9181	0.495278
1.3	-7.1228	1.80404	3.73451	-13.0221	0.481891
1.305	-14.8254	0.0152949	-0.875017	-13.1316	0.467846
1.31	-20.9534	-1.75865	-4.62528	-13.2461	0.452262
1.315	-22.4426	-3.31761	-5.84576	-13.3655	0.433928
1.32	-20.6482	-4.49039	-4.39769	-13.4897	0.411861
1.325	-18.8049	-5.15388	-1.48545	-13.618	0.384926
1.33	-18.811	-5.24839	1.27883	-13.7497	0.35139
1.335	-19.165	-4.7793	2.87043	-13.884	0.308391
1.34	-16.6931	-3.81491	3.23461	-14.0207	0.254288
1.345	-9.79004	-2.47394	2.89602	-14.1595	0.188155
1.35	-9.47876	-0.91205	2.24438	-14.2997	0.110793
1.355	-12.4023	0.696731	1.17502	-14.4405	0.0236384
1.36	-18.5303	2.18136	-0.621395	-14.5811	-0.0728981
1.365	-15.7532	3.39268	-2.99035	-14.7209	-0.176816
1.37	-11.1938	4.21854	-4.93919	-14.8592	-0.2858
1.375	-10.2112	4.59321	-5.02018	-14.9951	-0.396226
1.38	-13.7695	4.50101	-2.37025	-15.1279	-0.505347
1.385	-15.0696	3.97418	2.33991	-15.257	-0.610429
1.39	-9.00269	3.0867	6.8507	-15.3817	-0.70808
1.395	-2.38037	1.94315	8.44681	-15.5019	-0.793919
1.4	-6.05469	0.666268	5.65797	-15.6168	-0.863618
1.405	-17.3096	-0.617398	-0.568673	-15.7259	-0.913668
1.41	-30.2368	-1.78939	-7.13979	-15.8287	-0.941799
1.415	-33.313	-2.74943	-10.4845	-15.9249	-0.945152
1.42	-26.4221	-3.42261	-8.64061	-16.0145	-0.921349
1.425	-20.0378	-3.76398	-2.47212	-16.0971	-0.86907
1.43	-16.3818	-3.76104	4.80473	-16.1726	-0.788882
1.435	-14.0747	-3.43146	9.48777	-16.2408	-0.682823
1.44	-10.7605	-2.81678	9.47233	-16.3021	-0.553804
1.445	-11.3037	-1.97757	5.28448	-16.3564	-0.40471
1.45	-16.8579	-0.98825	-0.507005	-16.4038	-0.239756
1.455	-23.7732	0.0658451	-4.98103	-16.4446	-0.0632456
1.46	-25.6897	1.09556	-6.4898	-16.4789	0.120247
1.465	-19.6777	2.01533	-5.24625	-16.507	0.305613
1.47	-13.3301	2.74919	-2.68933	-16.5293	0.486958
1.475	-11.5845	3.23633	-0.268661	-16.5458	0.657642
1.48	-12.7808	3.43456	1.38525	-16.557	0.811338
1.485	-13.8245	3.32424	2.42938	-16.5637	0.94258
1.49	-9.33838	2.91023	3.13948	-16.5663	1.04665
1.495	-7.1106	2.22374	3.35423	-16.5652	1.1198
1.5	-8.10547	1.32137	2.56267	-16.5605	1.15919
1.505	-13.9832	0.282369	0.544633	-16.553	1.16375
1.51	-20.4895	-0.798058	-2.06181	-16.5433	1.13332
1.515	-22.5769	-1.81637	-3.87752	-16.5322	1.06894
1.52	-18.6951	-2.66973	-3.65243	-16.5199	0.972856
1.525	-17.1875	-3.26737	-1.26445	-16.5071	0.848257
1.53	-17.0227	-3.5394	1.93826	-16.4944	0.69947
1.535	-18.6768	-3.44737	3.88537	-16.4824	0.531825
1.54	-17.9932	-2.99013	3.17998	-16.4715	0.350759
1.545	-16.6382	-2.20749	0.172768	-16.4624	0.16307
1.55	-18.1152	-1.17658	-3.13258	-16.4553	-0.0241317
1.555	-21.1975	-0.00458795	-4.37352	-16.4508	-0.203949
1.56	-21.3867	1.18188	-2.48682	-16.4493	-0.369926
1.565	-15.6433	2.24959	1.44778	-16.4509	-0.516478
1.57	-8.03833	3.07362	4.82827	-16.4561	-0.638061
1.575	-6.34155	3.55385	5.23713	-16.465	-0.730369
1.58	-10.0525	3.62809	2.11345	-16.4781	-0.790686
1.585	-18.4204	3.27979	-2.76592	-16.496	-0.817663
1.59	-23.0164	2.54271	-6.34472	-16.5188	-0.811535
1.595	-22.1985	1.49935	-6.21165	-16.5467	-0.773897
1.6	-19.4946	0.272221	-2.16822	-16.5797	-0.708168
1.605	-16.0522	-0.991718	3.57154	-16.6179	-0.617457
1.61	-9.17358	-2.13932	7.6672	-16.6616	-0.504961
1.615	-10.8276	-3.0302	7.63593	-16.7109	-0.375042
1.62	-17.6514	-3.55315	3.32979	-16.7661	-0.233914
1.625	-28.2654	-3.64166	-2.98167	-16.8268	-0.0887803
1.63	-31.0547	-3.28306	-7.91176	-16.8929	0.0536282
1.635	-24.353	-2.52005	-8.84565	-16.964	0.187583
1.64	-18.1091	-1.44671	-5.31516	-17.0403	0.307053
1.645	-14.3616	-0.19695	0.830525	-17.1217	0.40607
1.65	-12.5977	1.07238	6.47839	-17.2078	0.4796
1.655	-11.6638	2.20059	8.8871	-17.2981	0.525096
1.66	-4.97437	3.04564	7.03955	-17.3926	0.542285
1.665	-7.33643	3.50267	2.04528	-17.4909	0.531539
1.67	-12.0911	3.51505	-3.54906	-17.5927	0.493024
1.675	-22.2717	3.0832	-7.11389	-17.697	0.42761
1.68	-27.4902	2.26317	-7.21429	-17.8029	0.337887
1.685	-24.762	1.16165	-4.15788	-17.91	0.227998
1.69	-15.4846	-0.0778939	0.356642	-18.0179	0.102874
