¬í	EMG	EMG ¿n¤À
1.004	-0.00610352	0.00861206
1.006	0.00488281	0.00860596
1.008	0.00244141	0.00847778
1.01	0.00183105	0.00847168
1.012	0.00183105	0.00843506
1.014	0.0012207	0.0083313
1.016	0.00732422	0.0083313
1.018	0.00793457	0.00823975
1.02	-0.00732422	0.00809326
1.022	0.00305176	0.00806274
1.024	0.00305176	0.00806274
1.026	0.00183105	0.00805054
1.028	0.0134277	0.0081543
1.03	0.00854492	0.00794067
1.032	0.00366211	0.00764771
1.034	0.0152588	0.00779419
1.036	0	0.00772705
1.038	0.0219727	0.00779419
1.04	0.0012207	0.00776367
1.042	-0.010376	0.00780029
1.044	-0.0189209	0.00783691
1.046	0.0183105	0.00789185
1.048	-0.000610352	0.00778198
1.05	-0.0152588	0.00791016
1.052	-0.00671387	0.00782471
1.054	0.0012207	0.00773926
1.056	0.012207	0.00773315
1.058	0.0164795	0.00783691
1.06	-0.0292969	0.00806885
1.062	0.0250244	0.00831909
1.064	0.00854492	0.00838013
1.066	0.000610352	0.00820313
1.068	-0.00427246	0.00820923
1.07	0.00244141	0.00802002
1.072	-0.00244141	0.00802612
1.074	-0.00244141	0.00802002
1.076	-0.0128174	0.00812988
1.078	-0.00671387	0.00811768
1.08	0.00610352	0.0081604
1.082	0.00671387	0.00820313
1.084	-0.00549316	0.0081543
1.086	-0.00427246	0.00803833
1.088	-0.00671387	0.00809937
1.09	0.00915527	0.00809326
1.092	0.00488281	0.00811768
1.094	0.00610352	0.0081604
1.096	0.00244141	0.00814819
1.098	-0.0152588	0.00827637
1.1	-0.00183105	0.0081604
1.102	0.00427246	0.00808105
1.104	0.0134277	0.00808105
1.106	-0.00305176	0.00802002
1.108	0.00854492	0.00808716
1.11	0.012207	0.00803833
1.112	-0.012207	0.00805664
1.114	-0.00671387	0.00794067
1.116	0.00366211	0.00792847
1.118	0.00854492	0.00786133
1.12	-0.0115967	0.00792847
1.122	-0.00610352	0.00791016
1.124	0.00793457	0.00794678
1.126	0.0177002	0.00806885
1.128	-0.0152588	0.00814209
1.13	0.00915527	0.00814209
1.132	0.00427246	0.00817261
1.134	-0.000610352	0.0081604
1.136	-0.010376	0.00823975
1.138	-0.000610352	0.00819092
1.14	-0.0158691	0.00834961
1.142	0.00549316	0.00834351
1.144	-0.0268555	0.0085144
1.146	0.0164795	0.00858765
1.148	0.00183105	0.00843506
1.15	-0.00732422	0.00845947
1.152	0.00488281	0.00838623
1.154	-0.00854492	0.00843506
1.156	-0.0128174	0.00852051
1.158	0.0164795	0.00862427
1.16	0.00183105	0.00854492
1.162	-0.00793457	0.00859375
1.164	0.00793457	0.00863037
1.166	-0.010376	0.00864258
1.168	0.0152588	0.00866699
1.17	0.010376	0.00861206
1.172	0.00549316	0.00859985
1.174	-0.0115967	0.0086853
1.176	-0.0158691	0.00858154
1.178	0.00732422	0.00854492
1.18	0.00671387	0.00845337
1.182	-0.000610352	0.00844727
1.184	-0.0292969	0.00863647
1.186	0.00854492	0.00871582
1.188	0.00549316	0.00864258
1.19	0.00854492	0.00872192
1.192	-0.0231934	0.00874023
1.194	0.00854492	0.00874023
1.196	0.00183105	0.00863037
1.198	-0.020752	0.00880737
1.2	0.00915527	0.00872803
1.202	0.0115967	0.00877686
1.204	-0.0244141	0.00895996
1.206	-0.0189209	0.00910034
1.208	0.0109863	0.00918579
1.21	0.0201416	0.0093689
1.212	-0.0189209	0.00953979
1.214	0.00915527	0.00961914
1.216	-0.00183105	0.00956421
1.218	-0.0012207	0.00949707
1.22	-0.00610352	0.00948486
1.222	-0.00915527	0.0095459
1.224	0.0201416	0.0097168
1.226	0.00671387	0.00976563
1.228	-0.000610352	0.00963745
1.23	-0.0140381	0.00969238
1.232	0.0140381	0.00979614
1.234	0.0262451	0.00990601
1.236	0.00488281	0.00995483
1.238	-0.00244141	0.00975952
1.24	0.00488281	0.00979614
1.242	0.0128174	0.00982056
1.244	-0.012207	0.00975342
1.246	0.00915527	0.00966187
1.248	-0.00976563	0.00975342
1.25	-0.00427246	0.00964355
1.252	0.000610352	0.00958252
1.254	0.0140381	0.00971069
1.256	-0.012207	0.00971069
1.258	-0.00610352	0.00960693
1.26	0.0152588	0.00946655
1.262	-0.00549316	0.00927124
1.264	-0.00305176	0.00921631
1.266	0.0109863	0.00932007
1.268	-0.00244141	0.00930176
1.27	0.0164795	0.00944214
1.272	-0.0115967	0.00953369
1.274	-0.00793457	0.00958862
1.276	0.0012207	0.00947266
1.278	0.0195313	0.00960083
1.28	-0.0170898	0.00971069
1.282	0.00427246	0.00968628
1.284	0.0115967	0.00974731
1.286	-0.00671387	0.00977173
1.288	0.00976563	0.00980225
1.29	0.00244141	0.00973511
1.292	-0.000610352	0.00969238
1.294	0.00549316	0.00968628
1.296	-0.00671387	0.009729
1.298	0.00549316	0.00963135
1.3	0.00305176	0.00964355
1.302	-0.00488281	0.00964966
1.304	-0.0128174	0.00964355
1.306	-0.0012207	0.00962524
1.308	-0.00305176	0.00957031
1.31	0.0115967	0.00956421
1.312	-0.0213623	0.00965576
1.314	-0.00183105	0.00960693
1.316	0.00183105	0.00958862
1.318	0.00671387	0.00957031
1.32	0.00488281	0.00950317
1.322	0.010376	0.0095459
1.324	0.0256348	0.0097229
1.326	-0.00793457	0.00962524
1.328	-0.012207	0.00959473
1.33	0.00610352	0.00956421
1.332	0.0140381	0.00966187
1.334	-0.0183105	0.00983887
1.336	-0.0128174	0.00986328
1.338	-0.00366211	0.0098938
1.34	-0.0134277	0.00986938
1.342	0.00488281	0.00986328
1.344	-0.00549316	0.00964966
1.346	-0.0109863	0.00959473
1.348	0.0274658	0.00985107
1.35	0.00183105	0.00979614
1.352	-0.010376	0.00985107
1.354	-0.0164795	0.00993042
1.356	0.012207	0.00992432
1.358	-0.00549316	0.00981445
1.36	-0.00244141	0.00982056
1.362	-0.0152588	0.0098938
1.364	0.0012207	0.00982666
1.366	-0.00183105	0.00974121
1.368	0.00976563	0.00968628
1.37	0.00488281	0.00963135
1.372	-0.00976563	0.00967407
1.374	-0.0115967	0.00967407
1.376	0.0268555	0.00978394
1.378	-0.0146484	0.00985718
1.38	-0.00793457	0.00986938
1.382	-0.00244141	0.0098877
1.384	-0.000610352	0.00960083
1.386	0.0115967	0.00963135
1.388	0.010376	0.00968018
1.39	0.00671387	0.00966187
1.392	0.00488281	0.00947876
1.394	0.0177002	0.00957031
1.396	-0.0012207	0.00956421
1.398	0.00732422	0.00942993
1.4	-0.0012207	0.00935059
1.402	-0.0152588	0.00938721
1.404	0.00488281	0.00919189
1.406	-0.00183105	0.009021
1.408	0.010376	0.00901489
1.41	-0.00732422	0.00888672
1.412	-0.0219727	0.00891724
1.414	0.0213623	0.00903931
1.416	0.0128174	0.00914917
1.418	-0.0134277	0.00927124
1.42	0.00915527	0.00930176
1.422	0	0.00921021
1.424	-0.0183105	0.00919189
1.426	0.0128174	0.00925293
1.428	0.0012207	0.00925903
1.43	-0.0152588	0.00927124
1.432	-0.00366211	0.00916748
1.434	0.00610352	0.00896606
1.436	-0.00732422	0.00899048
1.438	0.00427246	0.00900879
1.44	-0.00732422	0.0090332
1.442	0.0012207	0.00891724
1.444	0.00671387	0.0088623
1.446	0.0012207	0.00878296
1.448	0.00488281	0.00873413
1.45	-0.0134277	0.00882568
1.452	0.00488281	0.00886841
1.454	0.012207	0.0088501
1.456	0.00366211	0.00876465
1.458	0.00183105	0.00872192
1.46	0.010376	0.0086731
1.462	0.00549316	0.0086731
1.464	0.00549316	0.00869751
1.466	0.0189209	0.00877686
1.468	0.0189209	0.00894165
1.47	-0.0146484	0.00892334
1.472	0.00427246	0.0088501
1.474	0.00610352	0.00883179
1.476	0.00488281	0.00886841
1.478	-0.0238037	0.00891113
1.48	-0.00183105	0.00875854
1.482	0.0170898	0.00888672
1.484	-0.0189209	0.00895996
1.486	0.00244141	0.00891724
1.488	-0.00671387	0.00888672
1.49	-0.00610352	0.00892334
1.492	0.0152588	0.00906982
1.494	-0.0012207	0.0090271
1.496	-0.00610352	0.009021
1.498	0	0.00896606
