¬í	ECG	¤ß¸õ²v
0.408	-0.231934	0
0.409	-0.232239	0
0.41	-0.232239	0
0.411	-0.232544	0
0.412	-0.232849	0
0.413	-0.233154	0
0.414	-0.233459	0
0.415	-0.233765	0
0.416	-0.234375	0
0.417	-0.23468	0
0.418	-0.234985	0
0.419	-0.235596	0
0.42	-0.235901	0
0.421	-0.236511	0
0.422	-0.237122	0
0.423	-0.237732	0
0.424	-0.238037	0
0.425	-0.238342	0
0.426	-0.238647	0
0.427	-0.239258	0
0.428	-0.239563	0
0.429	-0.239868	0
0.43	-0.240173	0
0.431	-0.240784	0
0.432	-0.241089	0
0.433	-0.241394	0
0.434	-0.241699	0
0.435	-0.242004	0
0.436	-0.24231	0
0.437	-0.242615	0
0.438	-0.24292	0
0.439	-0.243225	0
0.44	-0.24353	0
0.441	-0.243835	0
0.442	-0.244141	0
0.443	-0.244446	0
0.444	-0.244751	0
0.445	-0.245056	0
0.446	-0.245361	0
0.447	-0.245361	0
0.448	-0.245361	0
0.449	-0.245361	0
0.45	-0.245056	0
0.451	-0.244751	0
0.452	-0.244446	0
0.453	-0.244141	0
0.454	-0.243835	0
0.455	-0.24353	0
0.456	-0.24353	0
0.457	-0.243225	0
0.458	-0.24292	0
0.459	-0.242615	0
0.46	-0.242615	0
0.461	-0.242615	0
0.462	-0.24292	0
0.463	-0.243225	0
0.464	-0.24353	0
0.465	-0.243835	0
0.466	-0.244446	0
0.467	-0.245056	0
0.468	-0.245361	0
0.469	-0.246277	0
0.47	-0.246887	0
0.471	-0.247498	0
0.472	-0.248108	0
0.473	-0.249023	0
0.474	-0.249329	0
0.475	-0.249939	0
0.476	-0.249939	0
0.477	-0.249939	0
0.478	-0.249634	0
0.479	-0.249329	0
0.48	-0.249023	0
0.481	-0.248718	0
0.482	-0.248413	0
0.483	-0.248108	0
0.484	-0.247803	0
0.485	-0.247192	0
0.486	-0.246887	0
0.487	-0.246887	0
0.488	-0.246582	0
0.489	-0.246887	0
0.49	-0.247192	0
0.491	-0.247498	0
0.492	-0.248108	0
0.493	-0.248718	0
0.494	-0.249329	0
0.495	-0.249939	0
0.496	-0.250244	0
0.497	-0.250854	0
0.498	-0.25116	0
0.499	-0.25116	0
0.5	-0.25116	0
0.501	-0.25116	0
0.502	-0.250854	0
0.503	-0.250549	0
0.504	-0.249939	0
0.505	-0.249634	0
0.506	-0.249023	0
0.507	-0.248718	0
0.508	-0.248108	0
0.509	-0.247803	0
0.51	-0.247498	0
0.511	-0.247498	0
0.512	-0.247498	0
0.513	-0.247498	0
0.514	-0.248108	0
0.515	-0.248413	0
0.516	-0.249023	0
0.517	-0.249634	0
0.518	-0.250244	0
0.519	-0.250854	0
0.52	-0.251465	0
0.521	-0.25177	0
0.522	-0.252075	0
0.523	-0.252075	0
0.524	-0.252075	0
0.525	-0.251465	0
0.526	-0.25116	0
0.527	-0.250549	0
0.528	-0.249634	0
0.529	-0.248718	0
0.53	-0.247498	0
0.531	-0.246277	0
0.532	-0.245056	0
0.533	-0.24353	0
0.534	-0.24231	0
0.535	-0.241089	0
0.536	-0.239563	0
0.537	-0.238342	0
0.538	-0.237122	0
0.539	-0.235901	0
0.54	-0.234985	0
0.541	-0.23407	0
0.542	-0.233154	0
0.543	-0.232544	0
0.544	-0.232239	0
0.545	-0.231934	0
0.546	-0.231934	0
0.547	-0.231934	0
0.548	-0.232239	0
0.549	-0.232544	0
0.55	-0.232849	0
0.551	-0.233154	0
0.552	-0.233765	0
0.553	-0.23468	0
0.554	-0.235291	0
0.555	-0.235901	0
0.556	-0.236511	0
0.557	-0.237122	0
0.558	-0.237427	0
0.559	-0.237427	0
0.56	-0.237427	0
0.561	-0.237427	0
0.562	-0.237427	0
0.563	-0.236816	0
0.564	-0.236511	0
0.565	-0.236206	0
0.566	-0.235596	0
0.567	-0.234985	0
0.568	-0.234375	0
0.569	-0.233765	0
0.57	-0.232849	0
0.571	-0.232239	0
0.572	-0.231934	0
0.573	-0.231323	0
0.574	-0.231018	0
0.575	-0.231018	0
0.576	-0.231018	0
0.577	-0.231018	0
0.578	-0.231018	0
0.579	-0.231018	0
0.58	-0.231018	0
0.581	-0.231018	0
0.582	-0.231018	0
0.583	-0.231018	0
0.584	-0.231018	0
0.585	-0.231018	0
0.586	-0.230713	0
0.587	-0.230713	0
0.588	-0.230408	0
0.589	-0.230103	0
0.59	-0.229797	0
0.591	-0.229492	0
0.592	-0.228882	0
0.593	-0.228271	0
0.594	-0.227661	0
0.595	-0.227051	0
0.596	-0.226135	0
0.597	-0.22522	0
0.598	-0.223999	0
0.599	-0.222778	0
0.6	-0.221558	0
0.601	-0.220032	0
0.602	-0.218506	0
0.603	-0.216675	0
0.604	-0.214844	0
0.605	-0.212708	0
0.606	-0.210571	0
0.607	-0.20813	0
0.608	-0.205383	0
0.609	-0.202637	0
0.61	-0.199585	0
0.611	-0.196228	0
0.612	-0.192871	0
0.613	-0.189819	0
0.614	-0.186462	0
0.615	-0.183716	0
0.616	-0.180969	0
0.617	-0.178223	0
0.618	-0.176086	0
0.619	-0.173645	0
0.62	-0.171204	0
0.621	-0.169067	0
0.622	-0.166931	0
0.623	-0.1651	0
0.624	-0.163574	0
0.625	-0.161743	0
0.626	-0.160522	0
0.627	-0.159302	0
0.628	-0.158081	0
0.629	-0.156555	0
0.63	-0.155029	0
0.631	-0.153503	0
0.632	-0.151367	0
0.633	-0.149231	0
0.634	-0.146484	0
0.635	-0.143738	0
0.636	-0.140686	0
0.637	-0.137634	0
0.638	-0.134277	0
0.639	-0.13092	0
0.64	-0.127563	0
0.641	-0.124207	0
0.642	-0.12085	0
0.643	-0.117493	0
0.644	-0.114136	0
0.645	-0.110474	0
0.646	-0.106812	0
0.647	-0.103149	0
0.648	-0.0991821	0
0.649	-0.0952148	0
0.65	-0.0915527	0
0.651	-0.0878906	0
0.652	-0.0845337	0
0.653	-0.0814819	0
0.654	-0.0787354	0
0.655	-0.0762939	0
0.656	-0.0741577	0
0.657	-0.0726318	0
0.658	-0.071106	0
0.659	-0.0701904	0
0.66	-0.0698853	0
0.661	-0.0695801	0
0.662	-0.0698853	0
0.663	-0.0704956	0
0.664	-0.0714111	0
0.665	-0.0726318	0
0.666	-0.0741577	0
0.667	-0.0759888	0
0.668	-0.0778198	0
0.669	-0.0802612	0
0.67	-0.0823975	0
0.671	-0.0848389	0
0.672	-0.0872803	0
0.673	-0.0897217	0
0.674	-0.0921631	0
0.675	-0.0946045	0
0.676	-0.0973511	0
0.677	-0.100403	0
0.678	-0.103455	0
0.679	-0.107422	0
0.68	-0.111389	0
0.681	-0.115967	0
0.682	-0.121155	0
0.683	-0.126648	0
0.684	-0.132446	0
0.685	-0.138245	0
0.686	-0.144653	0
0.687	-0.150757	0
0.688	-0.157471	0
0.689	-0.163879	0
0.69	-0.170288	0
0.691	-0.177002	0
0.692	-0.183411	0
0.693	-0.189514	0
0.694	-0.195313	0
0.695	-0.201111	0
0.696	-0.206604	0
0.697	-0.211487	0
0.698	-0.21637	0
0.699	-0.220947	0
0.7	-0.22522	0
0.701	-0.229187	0
0.702	-0.232849	0
0.703	-0.236206	0
0.704	-0.239258	0
0.705	-0.242004	0
0.706	-0.244446	0
0.707	-0.246582	0
0.708	-0.248413	0
0.709	-0.250244	0
0.71	-0.25177	0
0.711	-0.252686	0
0.712	-0.253601	0
0.713	-0.254517	0
0.714	-0.254822	0
0.715	-0.255127	0
0.716	-0.255127	0
0.717	-0.255127	0
0.718	-0.254822	0
0.719	-0.254517	0
0.72	-0.254211	0
0.721	-0.253906	0
0.722	-0.253296	0
0.723	-0.252991	0
0.724	-0.252686	0
0.725	-0.25238	0
0.726	-0.25177	0
0.727	-0.251465	0
0.728	-0.250854	0
0.729	-0.250549	0
0.73	-0.249939	0
0.731	-0.249634	0
0.732	-0.249329	0
0.733	-0.249329	0
0.734	-0.249023	0
0.735	-0.249023	0
0.736	-0.249023	0
0.737	-0.249023	0
0.738	-0.248718	0
0.739	-0.248718	0
0.74	-0.248718	0
0.741	-0.248413	0
0.742	-0.248413	0
0.743	-0.248718	0
0.744	-0.249023	0
0.745	-0.249329	0
0.746	-0.249634	0
0.747	-0.250244	0
0.748	-0.250854	0
0.749	-0.251465	0
0.75	-0.25238	0
0.751	-0.253601	0
0.752	-0.255127	0
0.753	-0.257263	0
0.754	-0.260315	0
0.755	-0.264282	0
0.756	-0.26886	0
0.757	-0.273743	0
0.758	-0.279541	0
0.759	-0.285339	0
0.76	-0.291443	0
0.761	-0.296936	0
0.762	-0.301819	0
0.763	-0.305786	0
0.764	-0.308228	0
0.765	-0.308838	0
0.766	-0.306702	0
0.767	-0.302124	0
0.768	-0.293884	0
0.769	-0.281677	0
0.77	-0.265503	0
0.771	-0.244751	0
0.772	-0.219116	0
0.773	-0.188599	0
0.774	-0.152893	0
0.775	-0.112305	0
0.776	-0.0662231	0
0.777	-0.0152588	0
0.778	0.0411987	0
0.779	0.102234	0
0.78	0.167847	0
0.781	0.236511	0
0.782	0.307312	0
0.783	0.378113	0
0.784	0.447083	0
0.785	0.512085	0
0.786	0.571594	0
0.787	0.624084	0
0.788	0.66803	0
0.789	0.70282	0
0.79	0.727844	0
0.791	0.742493	0
0.792	0.746765	0
0.793	0.740051	0
0.794	0.722046	0
0.795	0.693054	0
0.796	0.653381	0
0.797	0.603943	0
0.798	0.54657	0
0.799	0.482788	0
0.8	0.415039	0
0.801	0.344849	0
0.802	0.274048	0
0.803	0.204468	0
0.804	0.137024	0
0.805	0.0732422	0
0.806	0.0137329	0
0.807	-0.0418091	0
0.808	-0.0927734	0
0.809	-0.139465	0
0.81	-0.18219	0
0.811	-0.221252	0
0.812	-0.256653	0
0.813	-0.288696	0
0.814	-0.317688	0
0.815	-0.344543	0
0.816	-0.369568	0
0.817	-0.392761	0
0.818	-0.414429	0
0.819	-0.43457	0
0.82	-0.452881	0
0.821	-0.469666	0
0.822	-0.484619	0
0.823	-0.497437	0
0.824	-0.508118	0
0.825	-0.516052	0
0.826	-0.521545	0
0.827	-0.524292	0
0.828	-0.524292	0
0.829	-0.521545	0
0.83	-0.516357	0
0.831	-0.508118	0
0.832	-0.497437	0
0.833	-0.484619	0
0.834	-0.46936	0
0.835	-0.452271	0
0.836	-0.43396	0
0.837	-0.414429	0
0.838	-0.394592	0
0.839	-0.374451	0
0.84	-0.354004	0
0.841	-0.334167	0
0.842	-0.314941	0
0.843	-0.296021	0
0.844	-0.27832	0
0.845	-0.261536	0
0.846	-0.246277	0
0.847	-0.232544	0
0.848	-0.220642	0
0.849	-0.210266	0
0.85	-0.202026	0
0.851	-0.195313	0
0.852	-0.19043	0
0.853	-0.187073	0
0.854	-0.184937	0
0.855	-0.184021	0
0.856	-0.183716	0
0.857	-0.184326	0
0.858	-0.184937	0
0.859	-0.186157	0
0.86	-0.187073	0
0.861	-0.187988	0
0.862	-0.188904	0
0.863	-0.189209	0
0.864	-0.189514	0
0.865	-0.189514	0
0.866	-0.189514	0
0.867	-0.188904	0
0.868	-0.188293	0
0.869	-0.187378	0
0.87	-0.186462	0
0.871	-0.185242	0
0.872	-0.184021	0
0.873	-0.1828	0
0.874	-0.18158	0
0.875	-0.180054	0
0.876	-0.178833	0
0.877	-0.177612	0
0.878	-0.176392	0
0.879	-0.175171	0
0.88	-0.174255	0
0.881	-0.173035	0
0.882	-0.172119	0
0.883	-0.170898	0
0.884	-0.169983	0
0.885	-0.168762	0
0.886	-0.167847	0
0.887	-0.166626	0
0.888	-0.16571	0
0.889	-0.164795	0
0.89	-0.163574	0
0.891	-0.162659	0
0.892	-0.161438	0
0.893	-0.160217	0
0.894	-0.158691	0
0.895	-0.157166	0
0.896	-0.15564	0
0.897	-0.153809	0
0.898	-0.151978	0
0.899	-0.149841	0
0.9	-0.147705	0
0.901	-0.145264	0
0.902	-0.142822	0
0.903	-0.140381	0
0.904	-0.137634	0
0.905	-0.135193	0
0.906	-0.132446	0
0.907	-0.130005	0
0.908	-0.127258	0
0.909	-0.124817	0
0.91	-0.122375	0
0.911	-0.119934	0
0.912	-0.117798	0
0.913	-0.115662	0
0.914	-0.113831	0
0.915	-0.112	0
0.916	-0.110474	0
0.917	-0.108948	0
0.918	-0.107727	0
0.919	-0.106201	0
0.92	-0.10498	0
0.921	-0.103455	0
0.922	-0.101929	0
0.923	-0.100708	0
0.924	-0.0991821	0
0.925	-0.0973511	0
0.926	-0.09552	0
0.927	-0.093689	0
0.928	-0.0915527	0
0.929	-0.0894165	0
0.93	-0.0872803	0
0.931	-0.085144	0
0.932	-0.0827026	0
0.933	-0.0802612	0
0.934	-0.078125	0
0.935	-0.0756836	0
0.936	-0.0732422	0
0.937	-0.071106	0
0.938	-0.0686646	0
0.939	-0.0662231	0
0.94	-0.0637817	0
0.941	-0.0616455	0
0.942	-0.0592041	0
0.943	-0.0570679	0
0.944	-0.0546265	0
0.945	-0.0521851	0
0.946	-0.0497437	0
0.947	-0.0473022	0
0.948	-0.0445557	0
0.949	-0.0418091	0
0.95	-0.0393677	0
0.951	-0.0366211	0
0.952	-0.0338745	0
0.953	-0.0311279	0
0.954	-0.0283813	0
0.955	-0.0256348	0
0.956	-0.022583	0
0.957	-0.0198364	0
0.958	-0.0170898	0
0.959	-0.0140381	0
0.96	-0.0112915	0
0.961	-0.0088501	0
0.962	-0.00610352	0
0.963	-0.00335693	0
0.964	-0.000610352	0
0.965	0.00213623	0
0.966	0.00488281	0
0.967	0.00793457	0
0.968	0.0106812	0
0.969	0.0134277	0
0.97	0.0161743	0
0.971	0.0186157	0
0.972	0.0210571	0
0.973	0.0231934	0
0.974	0.0253296	0
0.975	0.0271606	0
0.976	0.0292969	0
0.977	0.0311279	0
0.978	0.0332642	0
0.979	0.0350952	0
0.98	0.0372314	0
0.981	0.0390625	0
0.982	0.0411987	0
0.983	0.043335	0
0.984	0.0454712	0
0.985	0.0476074	0
0.986	0.0500488	0
0.987	0.0524902	0
0.988	0.0549316	0
0.989	0.057373	0
0.99	0.0595093	0
0.991	0.0616455	0
0.992	0.0634766	0
0.993	0.0653076	0
0.994	0.0665283	0
0.995	0.0674438	0
0.996	0.0683594	0
0.997	0.0686646	0
0.998	0.0689697	0
0.999	0.0689697	0
1	0.0689697	0
1.001	0.0689697	0
1.002	0.0686646	0
1.003	0.0683594	0
1.004	0.0680542	0
1.005	0.0680542	0
1.006	0.067749	0
1.007	0.067749	0
1.008	0.0680542	0
1.009	0.0683594	0
1.01	0.0689697	0
1.011	0.0695801	0
1.012	0.0701904	0
1.013	0.0708008	0
1.014	0.071106	0
1.015	0.0714111	0
1.016	0.0714111	0
1.017	0.0714111	0
1.018	0.0708008	0
1.019	0.0701904	0
1.02	0.0689697	0
1.021	0.0674438	0
1.022	0.0653076	0
1.023	0.0631714	0
1.024	0.0604248	0
1.025	0.0576782	0
1.026	0.0546265	0
1.027	0.0512695	0
1.028	0.0479126	0
1.029	0.0442505	0
1.03	0.0402832	0
1.031	0.0360107	0
1.032	0.0317383	0
